[2026-02-13 08:09:03] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 08:09:52] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 08:17:42] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 08:33:09] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 08:33:15] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 08:33:20] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 08:33:26] IP: 49.43.160.201 | ACTION: Right-Click Attempt
[2026-02-13 08:33:29] IP: 49.43.160.201 | ACTION: ILLEGAL DOWNLOAD ATTEMPT (Ctrl+S)
[2026-02-13 08:33:47] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 08:37:36] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 08:39:57] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 09:16:55] IP: 125.16.70.131 | ACTION: New Session Started
[2026-02-13 09:18:26] IP: 125.16.70.131 | ACTION: New Session Started
[2026-02-13 10:46:58] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 10:47:15] IP: 49.43.160.201 | ACTION: Right-Click Attempt
[2026-02-13 10:48:05] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 10:48:13] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 10:48:24] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 10:50:35] IP: 2401:4900:1c61:5e05:c8d0:97a:af7c:f1e2 | ACTION: New Session Started
[2026-02-13 10:50:39] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 10:51:00] IP: 2401:4900:1c61:5e05:c8d0:97a:af7c:f1e2 | ACTION: New Session Started
[2026-02-13 10:51:03] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 10:51:10] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 10:51:50] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 10:52:11] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 10:52:19] IP: 2401:4900:1c61:5e05:c8d0:97a:af7c:f1e2 | ACTION: New Session Started
[2026-02-13 10:52:29] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 10:52:33] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 10:55:10] IP: 2401:4900:1c61:5e05:c8d0:97a:af7c:f1e2 | ACTION: ILLEGAL DOWNLOAD ATTEMPT (Ctrl+S)
[2026-02-13 10:55:10] IP: 49.43.160.201 | ACTION: ILLEGAL DOWNLOAD ATTEMPT (Ctrl+S)
[2026-02-13 10:55:19] IP: 2401:4900:1c61:5e05:c8d0:97a:af7c:f1e2 | ACTION: Text Copy Attempt
[2026-02-13 10:55:22] IP: 2401:4900:1c61:5e05:c8d0:97a:af7c:f1e2 | ACTION: Right-Click Attempt
[2026-02-13 10:55:24] IP: 2401:4900:1c61:5e05:c8d0:97a:af7c:f1e2 | ACTION: Right-Click Attempt
[2026-02-13 10:56:06] IP: 2401:4900:1c61:5e05:c8d0:97a:af7c:f1e2 | ACTION: New Session Started
[2026-02-13 10:56:31] IP: 2401:4900:1c61:5e05:c8d0:97a:af7c:f1e2 | ACTION: New Session Started
[2026-02-13 10:56:43] IP: 2401:4900:1c61:5e05:c8d0:97a:af7c:f1e2 | ACTION: New Session Started
[2026-02-13 10:57:07] IP: 2401:4900:1c61:5e05:c8d0:97a:af7c:f1e2 | ACTION: New Session Started
[2026-02-13 10:57:25] IP: 2401:4900:1c61:5e05:c8d0:97a:af7c:f1e2 | ACTION: New Session Started
[2026-02-13 10:58:29] IP: 2401:4900:1c61:5e05:c8d0:97a:af7c:f1e2 | ACTION: New Session Started
[2026-02-13 10:59:12] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 10:59:51] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:05:33] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:05:54] IP: 14.141.113.3 | ACTION: New Session Started
[2026-02-13 11:06:09] IP: 14.141.113.3 | ACTION: New Session Started
[2026-02-13 11:06:11] IP: 14.141.113.3 | ACTION: New Session Started
[2026-02-13 11:06:22] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:10:19] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:13:40] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:15:42] IP: 45.84.107.97 | ACTION: New Session Started
[2026-02-13 11:15:42] IP: 45.84.107.97 | ACTION: Right-Click Attempt
[2026-02-13 11:15:44] IP: 45.84.107.97 | ACTION: ILLEGAL DOWNLOAD ATTEMPT (Ctrl+S)
[2026-02-13 11:16:52] IP: 45.84.107.97 | ACTION: New Session Started
[2026-02-13 11:22:40] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:22:43] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:22:45] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:22:46] IP: 49.43.160.201 | ACTION: Right-Click Attempt
[2026-02-13 11:22:54] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:30:36] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:34:47] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:35:24] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:35:31] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:35:37] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:37:26] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:37:33] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:37:35] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:42:16] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:47:04] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 11:50:52] IP: 2401:4900:8844:7eb5:69f3:3e90:ed56:7893 | ACTION: New Session Started
[2026-02-13 11:50:56] IP: 2401:4900:8844:7eb5:69f3:3e90:ed56:7893 | ACTION: New Session Started
[2026-02-13 11:55:27] IP: 45.138.16.118 | ACTION: New Session Started
[2026-02-13 12:23:22] IP: 109.70.100.4 | ACTION: New Session Started
[2026-02-13 12:23:25] IP: 109.70.100.4 | ACTION: New Session Started
[2026-02-13 12:25:15] IP: 109.70.100.4 | ACTION: New Session Started
[2026-02-13 12:25:27] IP: 109.70.100.4 | ACTION: New Session Started
[2026-02-13 12:25:34] IP: 109.70.100.4 | ACTION: New Session Started
[2026-02-13 12:47:15] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 12:47:44] IP: 122.176.145.36 | ACTION: New Session Started
[2026-02-13 12:47:54] IP: 49.43.160.201 | ACTION: Right-Click Attempt
[2026-02-13 12:48:05] IP: 49.43.160.201 | ACTION: ILLEGAL DOWNLOAD ATTEMPT (Ctrl+S)
[2026-02-13 12:49:01] IP: 49.43.160.201 | ACTION: New Session Started
[2026-02-13 12:49:07] IP: 122.176.145.36 | ACTION: New Session Started
[2026-02-13 12:49:18] IP: 122.176.145.36 | ACTION: New Session Started
[2026-02-13 12:49:18] IP: 49.43.160.201 | ACTION: New Session Started
